,FragmentsBitId,AvgNumNonHydrogenAtoms,StdNumNonHydrogenAtoms,countStrong,p-valueStrong,countWeak,p-valueWeak,countVeryWeak,p-valueVeryWeak,countLow,p-valueLow,countCyto,p-valueCyto,countNE,p-valueNE,hStrongBH,p-valueStrongBH,hWeakBH,p-valueWeakBH,hVeryWeakBH,p-valueVeryWeakBH,hLowBH,p-valueLowBH,hCytoBH,p-valueCytoBH,hNEBH,p-valueNEBH
3651,3651,3.3404825737265416,1.5822056016997956,11.0,0.3566905917110978,16.0,0.1480529362637349,11.0,0.7905218894636793,16.0,0.645327718046206,5.0,0.7379794562093875,313.0,0.5865311822518113,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3652,3652,10.076923076923077,3.9051879719991645,0.0,1.0,2.0,0.3612204921083887,0.0,1.0,3.0,0.2652253135831303,0.0,1.0,34.0,0.415707813026535,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3653,3653,9.742857142857142,2.969779762328293,0.0,1.0,0.0,1.0,3.0,0.12958859057476535,2.0,0.4823398912868262,0.0,1.0,30.0,0.5276588194852865,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3654,3654,11.11111111111111,1.9116278371205837,0.0,1.0,1.0,0.25628162547134453,1.0,0.28067845535584174,0.0,1.0,1.0,0.1383236971055996,6.0,0.9612831721840978,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3655,3655,9.166666666666666,2.3392781412697,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.24578795518559338,0.0,1.0,5.0,0.7618556760787056,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3656,3656,8.84375,2.895140054902353,2.0,0.19750260680838297,1.0,0.6516736190634886,0.0,1.0,1.0,0.7785216792617021,0.0,1.0,28.0,0.4253217744137151,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3657,3657,5.78125,2.2183098154901626,1.0,0.9188395849485718,2.0,0.8228743593740947,10.0,0.002219007438763626,3.0,0.8243796412123737,0.0,1.0,80.0,0.6741498859462547,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3658,3658,7.7105263157894735,2.1387145024504064,1.0,0.6283069692637048,0.0,1.0,0.0,1.0,2.0,0.5264093053330926,0.0,1.0,35.0,0.134070551332888,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3659,3659,10.666666666666666,3.5276684147527875,1.0,0.20854747576734473,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,0.5780331965008167,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3660,3660,7.075949367088608,2.708505832657108,0.0,1.0,2.0,0.7242028195599661,5.0,0.14803147687473264,5.0,0.28743250869328574,1.0,0.7266491189153623,65.0,0.6706074339596668,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3661,3661,10.761904761904763,1.3418097908195592,0.0,1.0,1.0,0.4991821801023212,1.0,0.5367141483629438,0.0,1.0,0.0,1.0,19.0,0.3409495880709431,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3662,3662,5.956521739130435,3.223261390060981,2.0,0.30241116964676235,1.0,0.7578811348897011,0.0,1.0,5.0,0.04561070198190445,1.0,0.5098873425156404,34.0,0.8772268876177449,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3663,3663,9.24,3.723224409030431,1.0,0.47819877942337324,0.0,1.0,0.0,1.0,1.0,0.6918131467968106,0.0,1.0,23.0,0.2272718310829459,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3664,3664,8.352112676056338,1.3011218512541969,0.0,1.0,2.0,0.601145568515499,2.0,0.6587357714432716,3.0,0.5470937453643594,2.0,0.2703673794399078,53.0,0.4900820964224555,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3665,3665,3.733695652173913,2.2140253117987254,3.0,0.8566133611801527,5.0,0.7164221216746026,4.0,0.9028752579770286,5.0,0.9306300093814659,3.0,0.5855733784855081,164.0,0.04031809881388211,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3666,3666,9.692307692307692,2.4615384615384617,0.0,1.0,1.0,0.5753475202571241,0.0,1.0,1.0,0.7060144560137469,1.0,0.349904500980766,23.0,0.4037281764893699,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3667,3667,10.68421052631579,3.3253829471434346,4.0,0.0011961668706238122,1.0,0.46503795365117695,0.0,1.0,1.0,0.591043574325074,0.0,1.0,13.0,0.9799867574798624,False,0.08447412934612301,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3668,3668,7.615384615384615,2.77456750721099,0.0,1.0,1.0,0.5610983184425997,2.0,0.2259728686066877,1.0,0.6918131467968106,1.0,0.33902672414707147,20.0,0.8152498003494535,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3669,3669,10.2,2.4657656011875906,0.0,1.0,2.0,0.19297190805483178,0.0,1.0,3.0,0.10474540869531355,0.0,1.0,20.0,0.8152498003494535,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3670,3670,9.857142857142858,2.721794126179664,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.7324898336743715,3.0,0.010428298431974896,24.0,0.5501810723977414,False,1.0,False,1.0,False,1.0,False,1.0,False,0.562030399702226,False,0.9999999987215966
